Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
2022-06-20,1,14249810,840,8 out of 17,Carpet Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-18,3,14250000,1121,30 out of 45,Carpet Area,Menteng,Surabaya,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-26,2,8550000,650,2 out of 12,Carpet Area,Cilandak,Bandung,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-16,1,4180000,575,14 out of 14,Super Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,1,6080000,475,3 out of 4,Super Area,Lowokwaru,Semarang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-22,2,6460000,830,9 out of 21,Carpet Area,Panakkukang,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-19,3,32300000,1337,28 out of 30,Carpet Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-13,1,4370000,420,5 out of 7,Carpet Area,Kelapa Gading,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-21,1,3800000,310,Ground out of 7,Carpet Area,Kebayoran Baru,Palembang,Unfurnished,Bachelors,1,Contact Agent,IDR
2022-07-04,3,66500000,1800,2 out of 12,Carpet Area,Menteng,Malang,Furnished,Family,4,Contact Agent,IDR
2022-07-06,3,17100000,967,14 out of 33,Carpet Area,Cilandak,Jakarta,Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-30,1,10450000,505,4 out of 12,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-23,1,2850000,275,3 out of 7,Super Area,Lowokwaru,Bandung,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-07,2,4180000,640,21 out of 21,Carpet Area,Panakkukang,Medan,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-13,3,11400000,1500,10 out of 23,Carpet Area,Umbulharjo,Semarang,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-13,2,9310000,850,10 out of 23,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-20,2,6460000,900,12 out of 25,Carpet Area,Kebayoran Baru,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-18,1,4560000,430,6 out of 7,Carpet Area,Menteng,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-07,4,51300000,1649,18 out of 29,Carpet Area,Cilandak,Palembang,Semi-Furnished,Family,3,Contact Agent,IDR
2022-05-11,3,13110000,1100,12 out of 24,Carpet Area,Wonokromo,Malang,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-07-09,3,22800000,1200,14 out of 35,Carpet Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-17,2,6080000,680,5 out of 20,Carpet Area,Panakkukang,Surabaya,Unfurnished,Family,2,Contact Agent,IDR
2022-05-25,2,4560000,600,5 out of 7,Carpet Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-06-07,4,19000000,1560,12 out of 19,Carpet Area,Kelapa Gading,Medan,Unfurnished,Bachelors/Family,4,Contact Agent,IDR
2022-05-27,5,114000000,4500,7 out of 20,Carpet Area,Kebayoran Baru,Semarang,Furnished,Bachelors,5,Contact Agent,IDR
2022-07-06,2,8550000,771,20 out of 37,Carpet Area,Menteng,Makassar,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-09,2,15200000,800,7 out of 22,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-27,2,7030000,800,5 out of 14,Super Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors,2,Contact Agent,IDR
2022-06-16,3,39900000,1425,9 out of 35,Carpet Area,Lowokwaru,Palembang,Furnished,Bachelors,4,Contact Agent,IDR
2022-06-27,4,36100000,1750,5 out of 17,Carpet Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
2022-05-27,1,4750000,475,11 out of 15,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-07-09,4,39900000,2000,27 out of 27,Carpet Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors,5,Contact Agent,IDR
2022-06-04,3,38000000,1375,15 out of 60,Carpet Area,Kebayoran Baru,Bandung,Semi-Furnished,Family,3,Contact Agent,IDR
2022-06-29,5,58900000,2800,19 out of 33,Carpet Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
2022-05-18,1,4940000,650,1 out of 3,Super Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-01,2,5130000,600,18 out of 20,Carpet Area,Wonokromo,Makassar,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-04-29,1,4940000,649,3 out of 3,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-29,2,11400000,950,2 out of 8,Carpet Area,Panakkukang,Denpasar,Furnished,Bachelors,2,Contact Agent,IDR
2022-06-02,1,2280000,225,7 out of 7,Carpet Area,Umbulharjo,Palembang,Unfurnished,Family,1,Contact Owner,IDR
2022-06-22,2,34200000,1000,6 out of 10,Carpet Area,Kelapa Gading,Malang,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-09,1,5700000,330,13 out of 40,Carpet Area,Kebayoran Baru,Jakarta,Furnished,Family,1,Contact Agent,IDR
2022-06-25,3,19000000,1200,8 out of 14,Carpet Area,Menteng,Surabaya,Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-23,3,26600000,1270,15 out of 60,Carpet Area,Cilandak,Bandung,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-05-17,3,13300000,920,14 out of 21,Carpet Area,Wonokromo,Medan,Unfurnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-26,2,3800000,630,4 out of 22,Carpet Area,Lowokwaru,Semarang,Unfurnished,Family,2,Contact Agent,IDR
2022-05-28,2,4180000,670,4 out of 12,Carpet Area,Panakkukang,Makassar,Furnished,Family,2,Contact Agent,IDR
2022-06-04,1,6080000,450,1 out of 5,Super Area,Umbulharjo,Yogyakarta,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-28,1,3800000,265,6 out of 7,Super Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-06,2,9500000,600,9 out of 11,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-04,2,5510000,670,7 out of 7,Carpet Area,Menteng,Malang,Unfurnished,Family,2,Contact Owner,IDR
2022-07-06,2,8550000,650,10 out of 18,Carpet Area,Cilandak,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-02,1,1235000,422,9 out of 15,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-12,2,10450000,955,8 out of 22,Carpet Area,Lowokwaru,Bandung,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-27,3,13299810,1100,6 out of 13,Carpet Area,Panakkukang,Medan,Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-08,1,3515000,300,3 out of 4,Carpet Area,Umbulharjo,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
2022-06-30,2,9500000,900,5 out of 17,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-28,2,8550000,785,2 out of 7,Carpet Area,Kebayoran Baru,Yogyakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-06-03,3,16150000,1350,20 out of 31,Carpet Area,Menteng,Denpasar,Furnished,Family,3,Contact Agent,IDR
2022-06-06,2,16150000,900,27 out of 45,Carpet Area,Cilandak,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-27,1,4750000,400,18 out of 23,Carpet Area,Wonokromo,Malang,Unfurnished,Bachelors,1,Contact Agent,IDR
2022-05-27,2,14250000,800,19 out of 20,Carpet Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-07-09,2,36100000,895,32 out of 46,Carpet Area,Panakkukang,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-27,1,3800000,625,10 out of 12,Super Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-23,2,5700000,720,5 out of 14,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-04,2,14250000,750,4 out of 13,Carpet Area,Kebayoran Baru,Semarang,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-08,3,66500000,1663,19 out of 85,Carpet Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-06,2,13300000,660,Ground out of 6,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-30,2,6080000,700,Ground out of 7,Carpet Area,Wonokromo,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-23,1,4180000,377,3 out of 23,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,2,6650000,650,5 out of 6,Carpet Area,Panakkukang,Malang,Semi-Furnished,Family,2,Contact Agent,IDR
2022-05-31,2,8930000,650,5 out of 7,Carpet Area,Umbulharjo,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-09,4,76000000,2080,34 out of 46,Carpet Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
2022-06-08,2,5890000,700,2 out of 8,Super Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-12,1,11400000,430,1 out of 7,Carpet Area,Menteng,Medan,Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-16,2,11020000,650,15 out of 24,Carpet Area,Cilandak,Semarang,Unfurnished,Family,2,Contact Agent,IDR
2022-06-14,3,16150000,890,4 out of 27,Carpet Area,Wonokromo,Makassar,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-09,2,8550000,965,19 out of 27,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-02,1,1425000,630,3 out of 12,Super Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-14,4,47500000,2100,35 out of 60,Carpet Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,4,Contact Agent,IDR
2022-07-09,3,28500000,1100,9 out of 16,Carpet Area,Kelapa Gading,Malang,Furnished,Family,3,Contact Agent,IDR
2022-06-29,2,15200000,730,4 out of 6,Carpet Area,Kebayoran Baru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-18,3,14250000,1380,9 out of 22,Carpet Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-17,3,12540000,1100,17 out of 22,Carpet Area,Cilandak,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-07-09,1,8550000,450,5 out of 7,Carpet Area,Wonokromo,Medan,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-07-04,1,4180000,500,3 out of 4,Super Area,Lowokwaru,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-09,3,12350000,1100,9 out of 20,Carpet Area,Panakkukang,Makassar,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-05-25,3,10450000,868,9 out of 21,Carpet Area,Umbulharjo,Yogyakarta,Unfurnished,Family,3,Contact Agent,IDR
2022-06-18,2,10450000,750,6 out of 15,Carpet Area,Kelapa Gading,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-04-28,1,6840000,540,2 out of 3,Super Area,Kebayoran Baru,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-16,4,43700000,2100,21 out of 33,Carpet Area,Menteng,Malang,Furnished,Family,5,Contact Agent,IDR
2022-07-06,1,4180000,450,4 out of 7,Carpet Area,Cilandak,Jakarta,Semi-Furnished,Family,2,Contact Agent,IDR
2022-05-31,3,32300000,1600,25 out of 52,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Family,4,Contact Agent,IDR
2022-04-28,1,6460000,560,3 out of 7,Super Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-06-02,1,8550000,500,2 out of 3,Carpet Area,Panakkukang,Medan,Unfurnished,Bachelors,1,Contact Agent,IDR
2022-05-23,1,2660000,305,2 out of 24,Carpet Area,Umbulharjo,Semarang,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
2022-06-09,3,14250000,970,1 out of 3,Carpet Area,Kelapa Gading,Makassar,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,1,1330000,480,4 out of 4,Carpet Area,Kebayoran Baru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-31,2,10450000,720,1 out of 6,Carpet Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-07-09,2,10450000,950,7 out of 10,Carpet Area,Cilandak,Palembang,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-27,4,133000000,3200,24 out of 24,Carpet Area,Wonokromo,Malang,Furnished,Bachelors/Family,4,Contact Agent,IDR
2022-06-16,3,26600000,1450,18 out of 33,Carpet Area,Lowokwaru,Jakarta,Furnished,Family,3,Contact Agent,IDR
2022-06-23,2,7980000,774,10 out of 20,Carpet Area,Panakkukang,Surabaya,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-23,1,5130000,450,2 out of 3,Super Area,Umbulharjo,Bandung,Unfurnished,Family,1,Contact Agent,IDR
2022-06-09,3,11400000,1000,1 out of 10,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-06-23,1,3230000,340,1 out of 8,Super Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-26,1,5700000,430,14 out of 23,Carpet Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-31,2,8550000,722,4 out of 7,Carpet Area,Cilandak,Yogyakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-25,3,17100000,1152,12 out of 21,Carpet Area,Wonokromo,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-04-28,1,4750000,641,3 out of 8,Super Area,Lowokwaru,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-14,2,13300000,810,4 out of 11,Carpet Area,Panakkukang,Malang,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-04,2,17100000,800,5 out of 6,Carpet Area,Umbulharjo,Jakarta,Furnished,Family,2,Contact Agent,IDR
2022-07-07,2,20900000,875,12 out of 14,Carpet Area,Kelapa Gading,Surabaya,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-04,2,3800000,700,8 out of 22,Super Area,Kebayoran Baru,Bandung,Unfurnished,Family,2,Contact Owner,IDR
2022-06-15,1,6650000,420,Ground out of 3,Super Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-23,3,15200000,1400,1 out of 2,Carpet Area,Cilandak,Semarang,Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-13,2,10355000,758,12 out of 24,Carpet Area,Wonokromo,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-07,4,66500000,2880,45 out of 60,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors,5,Contact Agent,IDR
2022-06-20,1,8550000,480,7 out of 7,Carpet Area,Panakkukang,Denpasar,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-17,1,7220000,550,6 out of 10,Carpet Area,Umbulharjo,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
2022-07-07,2,17100000,900,60 out of 71,Carpet Area,Kelapa Gading,Malang,Semi-Furnished,Bachelors,2,Contact Agent,IDR
2022-05-27,1,4180000,400,8 out of 22,Super Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-09,2,13300000,760,9 out of 22,Carpet Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-07,4,72200000,2800,36 out of 81,Carpet Area,Cilandak,Bandung,Unfurnished,Bachelors,5,Contact Agent,IDR
2022-06-20,1,9500000,400,10 out of 22,Carpet Area,Wonokromo,Medan,Semi-Furnished,Bachelors/Family,1,Contact Agent,IDR
2022-07-07,4,129200000,1962,18 out of 20,Carpet Area,Lowokwaru,Semarang,Semi-Furnished,Bachelors/Family,5,Contact Agent,IDR
2022-07-09,3,26600000,1100,6 out of 12,Carpet Area,Panakkukang,Makassar,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-27,2,7600000,800,1 out of 3,Super Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-07,2,6080000,590,7 out of 12,Carpet Area,Kelapa Gading,Denpasar,Unfurnished,Family,2,Contact Agent,IDR
2022-07-06,2,14820000,600,14 out of 22,Carpet Area,Kebayoran Baru,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-25,4,53200000,2500,24 out of 60,Carpet Area,Menteng,Malang,Semi-Furnished,Bachelors/Family,6,Contact Agent,IDR
2022-07-06,2,8550000,670,17 out of 22,Carpet Area,Cilandak,Jakarta,Unfurnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-09,2,12350000,960,16 out of 38,Carpet Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-21,2,12350000,1500,4 out of 4,Super Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-08,1,6650000,500,1 out of 5,Super Area,Panakkukang,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-28,3,17100000,1120,8 out of 45,Carpet Area,Umbulharjo,Semarang,Furnished,Family,2,Contact Agent,IDR
2022-05-27,4,47500000,2729,20 out of 27,Carpet Area,Kelapa Gading,Makassar,Semi-Furnished,Bachelors,5,Contact Agent,IDR
2022-06-30,3,13300000,3354,Ground out of 16,Carpet Area,Kebayoran Baru,Yogyakarta,Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-06-23,2,1995000,800,3 out of 4,Super Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-04,2,2470000,1000,Ground out of 4,Super Area,Cilandak,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,2,3230000,1040,4 out of 4,Super Area,Wonokromo,Malang,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,3,3990000,1403,1 out of 4,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-04,2,1900000,600,3 out of 4,Super Area,Panakkukang,Surabaya,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-09,4,11685000,2608,1 out of 4,Carpet Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-05-11,2,2470000,850,1 out of 3,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Family,2,Contact Agent,IDR
2022-06-04,1,1425000,400,1 out of 2,Super Area,Kebayoran Baru,Semarang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-04,2,3230000,1000,3 out of 4,Super Area,Menteng,Makassar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-23,3,4750000,1350,5 out of 14,Carpet Area,Cilandak,Yogyakarta,Semi-Furnished,Bachelors,3,Contact Owner,IDR
2022-05-10,2,1995000,800,1 out of 2,Carpet Area,Wonokromo,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-04,1,1520000,350,3 out of 3,Super Area,Lowokwaru,Palembang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,1,1805000,900,Ground out of 2,Super Area,Panakkukang,Malang,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-06,3,9500000,2000,1 out of 2,Carpet Area,Umbulharjo,Jakarta,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-09,2,2470000,700,1 out of 4,Super Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-20,1,2565000,600,1 out of 4,Super Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-16,2,2470000,700,Ground out of 1,Carpet Area,Menteng,Medan,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-02,1,2850000,600,2 out of 4,Super Area,Cilandak,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-05-10,2,2850000,1400,Ground out of 1,Super Area,Wonokromo,Makassar,Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-05-10,1,1330000,600,Ground out of 3,Super Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-10,2,4750000,770,8 out of 32,Super Area,Panakkukang,Denpasar,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-25,2,3230000,900,1 out of 2,Carpet Area,Umbulharjo,Palembang,Semi-Furnished,Family,2,Contact Owner,IDR
2022-06-23,1,1425000,500,Ground out of 3,Super Area,Kelapa Gading,Malang,Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,2,2850000,1100,1 out of 2,Super Area,Kebayoran Baru,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-27,1,1425000,500,1 out of 2,Super Area,Menteng,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-04-28,3,4750000,1260,Ground out of 2,Super Area,Cilandak,Bandung,Furnished,Bachelors/Family,3,Contact Owner,IDR
2022-06-30,3,10260000,1750,2 out of 4,Carpet Area,Wonokromo,Medan,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-05-24,1,2755000,600,1 out of 3,Carpet Area,Lowokwaru,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-06-20,1,855000,450,Ground out of 3,Super Area,Panakkukang,Makassar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-27,2,1995000,800,3 out of 4,Super Area,Umbulharjo,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-27,1,1045000,400,Ground out of 2,Super Area,Kelapa Gading,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-13,2,3040000,600,1 out of 2,Carpet Area,Kebayoran Baru,Palembang,Unfurnished,Bachelors,2,Contact Owner,IDR
2022-06-04,1,1330000,400,Ground out of 2,Super Area,Menteng,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-20,2,2375000,900,Ground out of 3,Super Area,Cilandak,Jakarta,Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,2,1900000,1200,Ground out of 4,Super Area,Wonokromo,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-04,2,3420000,1045,1 out of 2,Carpet Area,Lowokwaru,Bandung,Semi-Furnished,Bachelors,2,Contact Owner,IDR
2022-05-02,3,5320000,1021,10 out of 10,Carpet Area,Panakkukang,Medan,Furnished,Bachelors,3,Contact Owner,IDR
2022-06-17,3,2280000,1200,Ground out of 4,Super Area,Umbulharjo,Semarang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-23,2,2470000,1000,1 out of 3,Carpet Area,Kelapa Gading,Makassar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-18,2,9500000,1280,2 out of 12,Carpet Area,Kebayoran Baru,Yogyakarta,Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-06-21,1,1330000,450,1 out of 2,Carpet Area,Menteng,Denpasar,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-14,2,5700000,450,2 out of 3,Super Area,Cilandak,Palembang,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-08,1,1900000,600,3 out of 4,Super Area,Wonokromo,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-04,2,2850000,800,2 out of 3,Super Area,Lowokwaru,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-04,1,1425000,500,2 out of 4,Super Area,Panakkukang,Surabaya,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-07-06,3,8550000,1680,7 out of 19,Super Area,Umbulharjo,Bandung,Semi-Furnished,Bachelors/Family,3,Contact Agent,IDR
2022-07-06,3,12350000,2000,23 out of 40,Carpet Area,Kelapa Gading,Medan,Semi-Furnished,Bachelors,3,Contact Agent,IDR
2022-07-06,1,2280000,500,1 out of 4,Carpet Area,Kebayoran Baru,Semarang,Semi-Furnished,Bachelors,1,Contact Agent,IDR
2022-07-06,1,1330000,500,2 out of 2,Carpet Area,Menteng,Makassar,Semi-Furnished,Bachelors,1,Contact Owner,IDR
2022-06-20,1,1710000,800,2 out of 3,Super Area,Cilandak,Yogyakarta,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-20,2,4370000,1100,2 out of 3,Super Area,Wonokromo,Denpasar,Semi-Furnished,Family,2,Contact Owner,IDR
2022-06-20,2,5700000,1200,3 out of 4,Super Area,Lowokwaru,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-05-27,1,1520000,500,2 out of 3,Carpet Area,Panakkukang,Malang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
2022-06-12,2,3040000,1155,3 out of 4,Super Area,Umbulharjo,Jakarta,Semi-Furnished,Family,2,Contact Owner,IDR
2022-06-21,1,1425000,440,3 out of 4,Super Area,Kelapa Gading,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
2022-05-18,2,3800000,1040,1 out of 7,Carpet Area,Kebayoran Baru,Bandung,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
2022-05-27,4,20900000,2900,7 out of 18,Carpet Area,Menteng,Medan,Furnished,Bachelors,4,Contact Agent,IDR
2022-07-07,3,5700000,1200,1 out of 2,Super Area,Cilandak,Semarang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-06-30,3,3800000,1600,2 out of 3,Super Area,Wonokromo,Makassar,Semi-Furnished,Family,3,Contact Agent,IDR
2022-05-11,4,15960000,3150,8 out of 19,Carpet Area,Lowokwaru,Yogyakarta,Unfurnished,Bachelors,4,Contact Owner,IDR
2022-06-08,2,3230000,1000,2 out of 4,Super Area,Panakkukang,Denpasar,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
2022-07-04,2,2850000,1200,1 out of 2,Super Area,Umbulharjo,Palembang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
